iteration=1
(W, 0, 0, D, 0):NONE = [0.0]
(W, 0, 0, D, 25):RIGHT = [-10.0]
(W, 0, 0, D, 50):RIGHT = [-10.0]
(W, 0, 0, D, 75):RIGHT = [-10.0]
(W, 0, 0, D, 100):RIGHT = [-10.0]
(W, 0, 0, R, 0):NONE = [0.0]
(W, 0, 0, R, 25):RIGHT = [-10.0]
(W, 0, 0, R, 50):RIGHT = [-10.0]
(W, 0, 0, R, 75):RIGHT = [-10.0]
(W, 0, 0, R, 100):RIGHT = [-10.0]
(W, 0, 1, D, 0):NONE = [0.0]
(W, 0, 1, D, 25):SHOOT = [2.5]
(W, 0, 1, D, 50):RIGHT = [-10.0]
(W, 0, 1, D, 75):RIGHT = [-10.0]
(W, 0, 1, D, 100):RIGHT = [-10.0]
(W, 0, 1, R, 0):NONE = [0.0]
(W, 0, 1, R, 25):SHOOT = [2.5]
(W, 0, 1, R, 50):RIGHT = [-10.0]
(W, 0, 1, R, 75):RIGHT = [-10.0]
(W, 0, 1, R, 100):RIGHT = [-10.0]
(W, 0, 2, D, 0):NONE = [0.0]
(W, 0, 2, D, 25):SHOOT = [2.5]
(W, 0, 2, D, 50):RIGHT = [-10.0]
(W, 0, 2, D, 75):RIGHT = [-10.0]
(W, 0, 2, D, 100):RIGHT = [-10.0]
(W, 0, 2, R, 0):NONE = [0.0]
(W, 0, 2, R, 25):SHOOT = [2.5]
(W, 0, 2, R, 50):RIGHT = [-10.0]
(W, 0, 2, R, 75):RIGHT = [-10.0]
(W, 0, 2, R, 100):RIGHT = [-10.0]
(W, 0, 3, D, 0):NONE = [0.0]
(W, 0, 3, D, 25):SHOOT = [2.5]
(W, 0, 3, D, 50):RIGHT = [-10.0]
(W, 0, 3, D, 75):RIGHT = [-10.0]
(W, 0, 3, D, 100):RIGHT = [-10.0]
(W, 0, 3, R, 0):NONE = [0.0]
(W, 0, 3, R, 25):SHOOT = [2.5]
(W, 0, 3, R, 50):RIGHT = [-10.0]
(W, 0, 3, R, 75):RIGHT = [-10.0]
(W, 0, 3, R, 100):RIGHT = [-10.0]
(W, 1, 0, D, 0):NONE = [0.0]
(W, 1, 0, D, 25):RIGHT = [-10.0]
(W, 1, 0, D, 50):RIGHT = [-10.0]
(W, 1, 0, D, 75):RIGHT = [-10.0]
(W, 1, 0, D, 100):RIGHT = [-10.0]
(W, 1, 0, R, 0):NONE = [0.0]
(W, 1, 0, R, 25):RIGHT = [-10.0]
(W, 1, 0, R, 50):RIGHT = [-10.0]
(W, 1, 0, R, 75):RIGHT = [-10.0]
(W, 1, 0, R, 100):RIGHT = [-10.0]
(W, 1, 1, D, 0):NONE = [0.0]
(W, 1, 1, D, 25):SHOOT = [2.5]
(W, 1, 1, D, 50):RIGHT = [-10.0]
(W, 1, 1, D, 75):RIGHT = [-10.0]
(W, 1, 1, D, 100):RIGHT = [-10.0]
(W, 1, 1, R, 0):NONE = [0.0]
(W, 1, 1, R, 25):SHOOT = [2.5]
(W, 1, 1, R, 50):RIGHT = [-10.0]
(W, 1, 1, R, 75):RIGHT = [-10.0]
(W, 1, 1, R, 100):RIGHT = [-10.0]
(W, 1, 2, D, 0):NONE = [0.0]
(W, 1, 2, D, 25):SHOOT = [2.5]
(W, 1, 2, D, 50):RIGHT = [-10.0]
(W, 1, 2, D, 75):RIGHT = [-10.0]
(W, 1, 2, D, 100):RIGHT = [-10.0]
(W, 1, 2, R, 0):NONE = [0.0]
(W, 1, 2, R, 25):SHOOT = [2.5]
(W, 1, 2, R, 50):RIGHT = [-10.0]
(W, 1, 2, R, 75):RIGHT = [-10.0]
(W, 1, 2, R, 100):RIGHT = [-10.0]
(W, 1, 3, D, 0):NONE = [0.0]
(W, 1, 3, D, 25):SHOOT = [2.5]
(W, 1, 3, D, 50):RIGHT = [-10.0]
(W, 1, 3, D, 75):RIGHT = [-10.0]
(W, 1, 3, D, 100):RIGHT = [-10.0]
(W, 1, 3, R, 0):NONE = [0.0]
(W, 1, 3, R, 25):SHOOT = [2.5]
(W, 1, 3, R, 50):RIGHT = [-10.0]
(W, 1, 3, R, 75):RIGHT = [-10.0]
(W, 1, 3, R, 100):RIGHT = [-10.0]
(W, 2, 0, D, 0):NONE = [0.0]
(W, 2, 0, D, 25):RIGHT = [-10.0]
(W, 2, 0, D, 50):RIGHT = [-10.0]
(W, 2, 0, D, 75):RIGHT = [-10.0]
(W, 2, 0, D, 100):RIGHT = [-10.0]
(W, 2, 0, R, 0):NONE = [0.0]
(W, 2, 0, R, 25):RIGHT = [-10.0]
(W, 2, 0, R, 50):RIGHT = [-10.0]
(W, 2, 0, R, 75):RIGHT = [-10.0]
(W, 2, 0, R, 100):RIGHT = [-10.0]
(W, 2, 1, D, 0):NONE = [0.0]
(W, 2, 1, D, 25):SHOOT = [2.5]
(W, 2, 1, D, 50):RIGHT = [-10.0]
(W, 2, 1, D, 75):RIGHT = [-10.0]
(W, 2, 1, D, 100):RIGHT = [-10.0]
(W, 2, 1, R, 0):NONE = [0.0]
(W, 2, 1, R, 25):SHOOT = [2.5]
(W, 2, 1, R, 50):RIGHT = [-10.0]
(W, 2, 1, R, 75):RIGHT = [-10.0]
(W, 2, 1, R, 100):RIGHT = [-10.0]
(W, 2, 2, D, 0):NONE = [0.0]
(W, 2, 2, D, 25):SHOOT = [2.5]
(W, 2, 2, D, 50):RIGHT = [-10.0]
(W, 2, 2, D, 75):RIGHT = [-10.0]
(W, 2, 2, D, 100):RIGHT = [-10.0]
(W, 2, 2, R, 0):NONE = [0.0]
(W, 2, 2, R, 25):SHOOT = [2.5]
(W, 2, 2, R, 50):RIGHT = [-10.0]
(W, 2, 2, R, 75):RIGHT = [-10.0]
(W, 2, 2, R, 100):RIGHT = [-10.0]
(W, 2, 3, D, 0):NONE = [0.0]
(W, 2, 3, D, 25):SHOOT = [2.5]
(W, 2, 3, D, 50):RIGHT = [-10.0]
(W, 2, 3, D, 75):RIGHT = [-10.0]
(W, 2, 3, D, 100):RIGHT = [-10.0]
(W, 2, 3, R, 0):NONE = [0.0]
(W, 2, 3, R, 25):SHOOT = [2.5]
(W, 2, 3, R, 50):RIGHT = [-10.0]
(W, 2, 3, R, 75):RIGHT = [-10.0]
(W, 2, 3, R, 100):RIGHT = [-10.0]
(N, 0, 0, D, 0):NONE = [0.0]
(N, 0, 0, D, 25):DOWN = [-10.0]
(N, 0, 0, D, 50):DOWN = [-10.0]
(N, 0, 0, D, 75):DOWN = [-10.0]
(N, 0, 0, D, 100):DOWN = [-10.0]
(N, 0, 0, R, 0):NONE = [0.0]
(N, 0, 0, R, 25):DOWN = [-10.0]
(N, 0, 0, R, 50):DOWN = [-10.0]
(N, 0, 0, R, 75):DOWN = [-10.0]
(N, 0, 0, R, 100):DOWN = [-10.0]
(N, 0, 1, D, 0):NONE = [0.0]
(N, 0, 1, D, 25):DOWN = [-10.0]
(N, 0, 1, D, 50):DOWN = [-10.0]
(N, 0, 1, D, 75):DOWN = [-10.0]
(N, 0, 1, D, 100):DOWN = [-10.0]
(N, 0, 1, R, 0):NONE = [0.0]
(N, 0, 1, R, 25):DOWN = [-10.0]
(N, 0, 1, R, 50):DOWN = [-10.0]
(N, 0, 1, R, 75):DOWN = [-10.0]
(N, 0, 1, R, 100):DOWN = [-10.0]
(N, 0, 2, D, 0):NONE = [0.0]
(N, 0, 2, D, 25):DOWN = [-10.0]
(N, 0, 2, D, 50):DOWN = [-10.0]
(N, 0, 2, D, 75):DOWN = [-10.0]
(N, 0, 2, D, 100):DOWN = [-10.0]
(N, 0, 2, R, 0):NONE = [0.0]
(N, 0, 2, R, 25):DOWN = [-10.0]
(N, 0, 2, R, 50):DOWN = [-10.0]
(N, 0, 2, R, 75):DOWN = [-10.0]
(N, 0, 2, R, 100):DOWN = [-10.0]
(N, 0, 3, D, 0):NONE = [0.0]
(N, 0, 3, D, 25):DOWN = [-10.0]
(N, 0, 3, D, 50):DOWN = [-10.0]
(N, 0, 3, D, 75):DOWN = [-10.0]
(N, 0, 3, D, 100):DOWN = [-10.0]
(N, 0, 3, R, 0):NONE = [0.0]
(N, 0, 3, R, 25):DOWN = [-10.0]
(N, 0, 3, R, 50):DOWN = [-10.0]
(N, 0, 3, R, 75):DOWN = [-10.0]
(N, 0, 3, R, 100):DOWN = [-10.0]
(N, 1, 0, D, 0):NONE = [0.0]
(N, 1, 0, D, 25):DOWN = [-10.0]
(N, 1, 0, D, 50):DOWN = [-10.0]
(N, 1, 0, D, 75):DOWN = [-10.0]
(N, 1, 0, D, 100):DOWN = [-10.0]
(N, 1, 0, R, 0):NONE = [0.0]
(N, 1, 0, R, 25):DOWN = [-10.0]
(N, 1, 0, R, 50):DOWN = [-10.0]
(N, 1, 0, R, 75):DOWN = [-10.0]
(N, 1, 0, R, 100):DOWN = [-10.0]
(N, 1, 1, D, 0):NONE = [0.0]
(N, 1, 1, D, 25):DOWN = [-10.0]
(N, 1, 1, D, 50):DOWN = [-10.0]
(N, 1, 1, D, 75):DOWN = [-10.0]
(N, 1, 1, D, 100):DOWN = [-10.0]
(N, 1, 1, R, 0):NONE = [0.0]
(N, 1, 1, R, 25):DOWN = [-10.0]
(N, 1, 1, R, 50):DOWN = [-10.0]
(N, 1, 1, R, 75):DOWN = [-10.0]
(N, 1, 1, R, 100):DOWN = [-10.0]
(N, 1, 2, D, 0):NONE = [0.0]
(N, 1, 2, D, 25):DOWN = [-10.0]
(N, 1, 2, D, 50):DOWN = [-10.0]
(N, 1, 2, D, 75):DOWN = [-10.0]
(N, 1, 2, D, 100):DOWN = [-10.0]
(N, 1, 2, R, 0):NONE = [0.0]
(N, 1, 2, R, 25):DOWN = [-10.0]
(N, 1, 2, R, 50):DOWN = [-10.0]
(N, 1, 2, R, 75):DOWN = [-10.0]
(N, 1, 2, R, 100):DOWN = [-10.0]
(N, 1, 3, D, 0):NONE = [0.0]
(N, 1, 3, D, 25):DOWN = [-10.0]
(N, 1, 3, D, 50):DOWN = [-10.0]
(N, 1, 3, D, 75):DOWN = [-10.0]
(N, 1, 3, D, 100):DOWN = [-10.0]
(N, 1, 3, R, 0):NONE = [0.0]
(N, 1, 3, R, 25):DOWN = [-10.0]
(N, 1, 3, R, 50):DOWN = [-10.0]
(N, 1, 3, R, 75):DOWN = [-10.0]
(N, 1, 3, R, 100):DOWN = [-10.0]
(N, 2, 0, D, 0):NONE = [0.0]
(N, 2, 0, D, 25):DOWN = [-10.0]
(N, 2, 0, D, 50):DOWN = [-10.0]
(N, 2, 0, D, 75):DOWN = [-10.0]
(N, 2, 0, D, 100):DOWN = [-10.0]
(N, 2, 0, R, 0):NONE = [0.0]
